chrom	start	end	seq-name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	blockSize-sums	TU.#-iso.#	TU.#-iso.#-count
Ad5	27579	30876	250ae590-b26b-4f39-a7fe-6a2bdf20f2ca	60	+	27579	30876	255,0,0	1	3297	0	3297	TU.1-iso.1	3
Ad5	27579	30876	c7bca4d8-6a17-4b34-8075-427225217faa	60	+	27579	30876	255,0,0	1	3297	0	3297	TU.1-iso.1	3
Ad5	27579	30876	653f9f3d-8be4-48df-92ce-6815b48dcfc4	60	+	27579	30876	255,0,0	1	3297	0	3297	TU.1-iso.1	3
Ad5	27579	30876	d7e47daa-f2fa-4375-8a26-030619f54afb	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	8408b66e-1eb5-42eb-b4b6-c9cf0625bebb	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	0ed9cd67-eb3b-4180-92c0-17abef010483	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	0ae35478-fe23-433f-bc69-670a498ad7db	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	23b60cfa-7d21-415f-8663-cb0859d691d0	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	57da54ce-b7f1-4f92-a7dd-12aa17a5fa0a	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	de2af346-7e68-441a-8e2e-5809a5643e20	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	bab8c984-8aa0-4e88-8daf-21c5a9a4b2cc	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
Ad5	27579	30876	4ba2818b-5695-41e5-b4fd-dde3e622fad2	60	+	27579	30876	255,0,0	2	360,2578	0,719	2938	TU.1-iso.2	9
