chrom	end	start	seq-name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	blockSize-sums	TU.#-iso.#	TU.#-iso.#-count
Ad5	4056	5825	d9ddee85-e824-4cb4-8b4e-f585b3fad96b	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	7ada70b1-44e8-4a3d-a285-d8cb15a403fe	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	186ac14e-210a-41d9-830d-d0c92648fb3e	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	1f472914-69e5-4e82-a7df-0fe0a32de862	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	4b397566-3a43-4a28-883b-8b26a5b1c5b7	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	4983e6a6-d01b-4f8e-860e-8f74cf974eef	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	a86771f2-d141-47ac-be6e-64ab2bfbf29b	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	445a6a67-daa2-4d2f-881a-f9586c0d8b1e	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	eb999dd4-3879-4448-9b0e-e2e1b4e7dfa7	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	282a1ba8-ec2f-4df3-9d33-7f7b7dcf7d54	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	779459d3-e226-49b2-ab69-7fbc02becf84	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	4562fa8c-c114-4892-ac53-bbfd8847ca61	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	d02d1e98-1661-4879-a3bc-f00e5e7e4a56	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	0f7822c7-a4dd-4307-9469-74f34895a930	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	690002f5-e1fe-4b35-b3ba-b8a1e7e8e97a	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	ab69bfe4-c062-4d62-8998-ecb2cc538842	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	7680397f-eb1f-4e9e-ad5b-0eaff0d1c369	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	e542a4c3-4426-4728-b15c-b29b8778c06a	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	e28f6a1b-4412-4154-8292-9408a47a878b	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	8c0236b6-0777-494a-a4c0-f2c2644426e5	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	32f5406b-1430-45a3-a7ed-b535d7fd215a	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	994fd2a3-9945-457f-8aa9-20394267f586	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	59b058e7-13b4-41f8-8541-342732f04769	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	f94c1003-0954-41ac-8708-2ed6e322ddca	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	56c11f38-df3a-47f2-b29d-337858df214e	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	03654181-0659-47fb-993e-c613659d80e6	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	8aaa2bd8-a6a0-44c4-a579-747982664cae	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	31307750-0b4c-49e4-acb9-775e40e83a78	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	0af6a76c-81bf-4e5c-8072-4b62a3e0a086	60	-	4056	5825	255,0,0	1	1769	0	1769	TU.1-iso.1	29
Ad5	4056	5825	72af6c0d-e759-4437-b7dd-349b16c83dac	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	0c10ac9b-0fb3-4248-8842-90ed6427a278	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	e6569eca-a692-4d52-83ac-5e5256415a81	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	14ef77e7-0bd8-4721-81d1-bbe6108f081d	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	4ace8a87-db5f-495d-84eb-e4f25e371488	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	3f6e8c50-5d93-4c09-afcd-5093432eb8a6	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	e93dd384-d34d-459c-8549-50f8e9cf64ab	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	171e360b-01b6-4fa1-8583-5691e9e25022	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	01dec726-9018-4cca-946e-5dfc309343cd	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	74f488e1-4e5b-4a27-a796-f59b40d2dcf5	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	810fecd2-c9a5-4772-b628-7984b3484682	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	0e66d248-34a8-4bef-aadb-1b7566eb11a9	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	33082db0-d6e1-471e-b57b-fd0c65af828f	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	37c510b7-157f-410b-b878-a7990a20035c	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	068b072b-6e53-4461-b79a-3c8876f5681b	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	a3c861e9-2c0f-4f1a-90ac-8366b1693cc9	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	dd2becae-4ff0-4f3c-bb72-d3c5645cb9ae	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	52b0c29e-945d-4971-a371-a6f14acc969c	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
Ad5	4056	5825	3f309e7e-bdd8-49d3-a4f5-17f7b2427cef	60	-	4056	5825	255,0,0	2	1371,120	0,1649	1491	TU.1-iso.2	396
